Countries,2000_DWU,2001_DWU,2002_DWU,2003_DWU,2004_DWU,2005_DWU,2006_DWU,2007_DWU,2008_DWU,2009_DWU,2010_DWU,2011_DWU,2012_DWU,2013_DWU,2014_DWU,2015_DWU,2016_DWU,2017_DWU,2018_DWU,2019_DWU,2020_DWU,2000_LEB,2010_LEB,2015_LEB,2019_LEB
Latvia,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,70.2,72.9,74.8,75.4
Lebanon,86.0,86.0,87.0,87.0,87.0,88.0,88.0,88.0,89.0,89.0,89.0,90.0,90.0,91.0,91.0,91.0,92.0,92.0,92.0,93.0,93.0,74.6,75.5,76.0,76.4
Lesotho,66.0,66.0,67.0,67.0,67.0,68.0,68.0,68.0,68.0,69.0,69.0,69.0,70.0,70.0,70.0,71.0,71.0,71.0,72.0,72.0,72.0,47.8,47.4,47.7,50.7
Liberia,62.0,63.0,64.0,64.0,65.0,66.0,67.0,68.0,68.0,69.0,70.0,70.0,71.0,71.0,72.0,73.0,73.0,74.0,74.0,75.0,75.0,53.8,60.7,61.2,64.1
Libya,84.0,85.0,86.0,87.0,88.0,89.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,96.0,97.0,98.0,99.0,100.0,100.0,100.0,74.4,76.0,74.6,75.8
Lithuania,90.0,90.0,91.0,91.0,91.0,92.0,92.0,93.0,93.0,94.0,94.0,95.0,95.0,96.0,96.0,97.0,97.0,98.0,98.0,98.0,98.0,72.0,73.1,74.4,76.0
Luxembourg,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,78.2,80.9,82.3,82.4
Madagascar,36.0,37.0,38.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,52.0,53.0,58.8,62.8,64.2,65.3
Malawi,54.0,55.0,56.0,56.0,57.0,58.0,59.0,60.0,61.0,61.0,62.0,63.0,64.0,65.0,65.0,66.0,67.0,68.0,69.0,69.0,70.0,44.7,56.8,63.0,65.6
Malaysia,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,72.8,74.3,75.0,74.7
Maldives,94.0,94.0,95.0,95.0,95.0,96.0,96.0,96.0,97.0,97.0,97.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,71.0,77.0,78.4,79.6
Mali,49.0,51.0,53.0,54.0,56.0,58.0,59.0,61.0,63.0,64.0,66.0,68.0,69.0,71.0,73.0,74.0,76.0,78.0,79.0,81.0,83.0,52.6,59.0,60.9,62.8
Malta,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.9,80.4,81.6,81.9
Mauritania,41.0,42.0,44.0,45.0,47.0,49.0,51.0,52.0,54.0,56.0,58.0,60.0,61.0,63.0,65.0,67.0,69.0,71.0,71.0,71.0,72.0,62.0,65.6,67.4,68.4
Mauritius,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,71.2,73.2,74.1,74.1
Mexico,90.0,91.0,91.0,92.0,92.0,93.0,94.0,94.0,95.0,95.0,96.0,96.0,97.0,97.0,98.0,98.0,98.0,99.0,99.0,99.0,100.0,74.4,75.1,75.9,76.0
Micronesia (Federated States of),85.0,86.0,86.0,86.0,86.0,86.0,87.0,87.0,87.0,87.0,87.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,87.84302325581395,61.2,62.7,62.7,63.0
Mongolia,62.0,64.0,65.0,66.0,68.0,69.0,71.0,72.0,73.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,85.0,60.5,65.1,67.6,68.1
